# wavelength (nm);intensity
282.585022;15
283.0111084;35
283.4372253;30
283.8633423;32
284.2894592;32
284.7155762;39
285.1416931;41
285.5678101;43
285.993927;49
286.4200745;37
286.8461914;45
287.2723083;53
287.6984253;49
288.1245728;55
288.5506897;50
288.9768066;61
289.4029236;58
289.8290405;60
290.255188;68
290.6813354;57
291.1074524;59
291.5335999;58
291.9597168;62
292.3858643;61
292.8120117;64
293.2381592;55
293.6643066;60
294.0904236;61
294.516571;70
294.942749;59
295.3688354;60
295.7950134;69
296.2211609;73
296.6472778;65
297.0734253;59
297.4996033;66
297.9257202;95
298.3518982;178
298.7780457;71
299.2041931;66
299.6303406;66
300.056488;67
300.4826355;64
300.908783;68
301.3349609;67
301.7611084;78
302.1872559;65
302.6134338;70
303.0395813;65
303.4657288;69
303.8918762;78
304.3180542;72
304.7442017;63
305.1703491;70
305.5964966;69
306.022644;75
306.448822;69
306.875;76
307.3011475;76
307.7272949;86
308.1534729;65
308.5796204;78
309.0057678;73
309.4319153;73
309.8580933;75
310.2842407;66
310.7103882;69
311.1365662;63
311.5626831;69
311.9888916;59
312.4150696;66
312.8411865;62
313.2673645;57
313.6935425;63
314.1196289;64
314.5458069;66
314.9719849;57
315.3981323;53
315.8242798;56
316.2504578;48
316.6766052;55
317.1027527;50
317.5289307;47
317.9550781;50
318.3812256;45
318.8074036;42
319.233551;45
319.659668;41
320.0858459;31
320.5119934;34
320.9381714;38
321.3642883;35
321.7904358;35
322.2166138;33
322.6427307;33
323.0689087;28
323.4950562;36
323.9211731;29
324.3473206;20
324.7734985;29
325.1996155;19
325.6257629;29
326.0519104;22
326.4780273;24
326.9041748;25
327.3303223;19
327.7564697;24
328.1825867;10
328.6087341;18
329.0348511;21
329.4609985;22
329.887146;18
330.3132935;15
330.7393799;6
331.1655273;14
331.5916748;10
332.0177917;12
332.4439087;10
332.8700562;19
333.2961426;16
333.72229;16
334.148407;9
334.5745544;13
335.0006409;17
335.4267578;15
335.8529053;13
336.2789917;15
336.7051392;13
337.1312256;11
337.5573425;13
337.983429;16
338.4095459;16
338.8356628;12
339.2617798;8
339.6878967;11
340.1139832;16
340.5400391;6
340.966156;6
341.3922729;12
341.8183594;10
342.2444458;12
342.6705322;10
343.0966187;13
343.5227356;8
343.9487915;17
344.3748474;8
344.8009644;17
345.2270508;5
345.6531067;17
346.0791931;9
346.5052795;8
346.9313354;7
347.3574219;14
347.7834778;10
348.2095337;9
348.6355896;8
349.0616455;9
349.4877319;8
349.9137573;11
350.3398438;11
350.7658997;16
351.191925;7
351.617981;7
352.0440369;4
352.4700623;6
352.8960876;15
353.3221436;9
353.7481689;8
354.1742249;12
354.6002502;14
355.0262451;18
355.452301;13
355.8783264;15
356.3043213;13
356.7303772;4
357.1564026;8
357.5823975;13
358.0083923;11
358.4344177;11
358.8603821;6
359.2864075;14
359.7124023;11
360.1384277;13
360.5643921;9
360.990387;7
361.4163818;10
361.8423767;4
362.2683411;4
